Time:1663792046	n=3	avg=409.33	stddev=466.19	bps=982400.00
Time:1663792046	n=2	avg=1067.00	stddev=0.00	bps=1707200.00
Time:1663792046	n=1	avg=943.00	stddev=0.00	bps=754400.00
Time:1663792046	n=0	avg=0.00	stddev=0.00	bps=0.00
Time:1663792046	n=0	avg=0.00	stddev=0.00	bps=0.00
Time:1663792046	n=4	avg=942.75	stddev=0.43	bps=3016800.00
Time:1663792046	n=2	avg=101.50	stddev=14.50	bps=162400.00
Time:1663792046	n=0	avg=0.00	stddev=0.00	bps=0.00
Time:1663792046	n=3	avg=42.00	stddev=0.00	bps=100800.00
Time:1663792046	n=1	avg=42.00	stddev=0.00	bps=33600.00
Time:1663792046	n=0	avg=0.00	stddev=0.00	bps=0.00
Time:1663792046	n=0	avg=0.00	stddev=0.00	bps=0.00
Time:1663792046	n=0	avg=0.00	stddev=0.00	bps=0.00
Time:1663792046	n=1	avg=982.00	stddev=0.00	bps=785600.00
Time:1663792046	n=4	avg=981.00	stddev=0.00	bps=3139200.00
Time:1663792046	n=2	avg=960.00	stddev=0.00	bps=1536000.00
Time:1663792046	n=1	avg=116.00	stddev=0.00	bps=92800.00
Time:1663792046	n=1	avg=959.00	stddev=0.00	bps=767200.00
Time:1663792046	n=1	avg=959.00	stddev=0.00	bps=767200.00
Time:1663792046	n=0	avg=0.00	stddev=0.00	bps=0.00
Time:1663792046	n=0	avg=0.00	stddev=0.00	bps=0.00
Time:1663792046	n=0	avg=0.00	stddev=0.00	bps=0.00
Time:1663792046	n=0	avg=0.00	stddev=0.00	bps=0.00
Time:1663792046	n=0	avg=0.00	stddev=0.00	bps=0.00
Time:1663792046	n=0	avg=0.00	stddev=0.00	bps=0.00
Time:1663792046	n=0	avg=0.00	stddev=0.00	bps=0.00
Time:1663792046	n=2	avg=771.50	stddev=0.50	bps=1234400.00
Time:1663792046	n=1	avg=116.00	stddev=0.00	bps=92800.00
Time:1663792046	n=0	avg=0.00	stddev=0.00	bps=0.00
Time:1663792046	n=0	avg=0.00	stddev=0.00	bps=0.00
Time:1663792046	n=0	avg=0.00	stddev=0.00	bps=0.00
Time:1663792046	n=0	avg=0.00	stddev=0.00	bps=0.00
Time:1663792046	n=0	avg=0.00	stddev=0.00	bps=0.00
Time:1663792046	n=0	avg=0.00	stddev=0.00	bps=0.00
Time:1663792046	n=0	avg=0.00	stddev=0.00	bps=0.00
Time:1663792046	n=0	avg=0.00	stddev=0.00	bps=0.00
Time:1663792046	n=4	avg=1085.00	stddev=0.00	bps=3472000.00
Time:1663792046	n=3	avg=767.33	stddev=460.56	bps=1841600.00
Time:1663792046	n=2	avg=1093.00	stddev=0.00	bps=1748800.00
Time:1663792046	n=3	avg=1092.00	stddev=0.00	bps=2620800.00
Time:1663792046	n=2	avg=1041.00	stddev=0.00	bps=1665600.00
Time:1663792046	n=2	avg=1033.00	stddev=0.00	bps=1652800.00
Time:1663792046	n=3	avg=787.00	stddev=346.48	bps=1888800.00
Time:1663792046	n=4	avg=542.75	stddev=384.86	bps=1736800.00
Time:1663792046	n=1	avg=42.00	stddev=0.00	bps=33600.00
Time:1663792046	n=3	avg=654.67	stddev=380.89	bps=1571200.00
Time:1663792047	n=0	avg=0.00	stddev=0.00	bps=0.00
Time:1663792047	n=0	avg=0.00	stddev=0.00	bps=0.00
Time:1663792047	n=0	avg=0.00	stddev=0.00	bps=0.00
Time:1663792047	n=0	avg=0.00	stddev=0.00	bps=0.00
Time:1663792047	n=0	avg=0.00	stddev=0.00	bps=0.00
Time:1663792047	n=1	avg=139.00	stddev=0.00	bps=111200.00
Time:1663792047	n=0	avg=0.00	stddev=0.00	bps=0.00
Time:1663792047	n=4	avg=751.25	stddev=347.71	bps=2404000.00
Time:1663792047	n=0	avg=0.00	stddev=0.00	bps=0.00
Time:1663792047	n=3	avg=683.67	stddev=378.07	bps=1640800.00
Time:1663792047	n=1	avg=129.00	stddev=0.00	bps=103200.00
Time:1663792047	n=2	avg=1020.00	stddev=0.00	bps=1632000.00
Time:1663792047	n=1	avg=147.00	stddev=0.00	bps=117600.00
Time:1663792047	n=3	avg=1019.00	stddev=0.00	bps=2445600.00
Time:1663792047	n=2	avg=95.50	stddev=43.50	bps=152800.00
Time:1663792047	n=0	avg=0.00	stddev=0.00	bps=0.00
Time:1663792047	n=1	avg=138.00	stddev=0.00	bps=110400.00
Time:1663792047	n=4	avg=1019.00	stddev=0.00	bps=3260800.00
Time:1663792047	n=1	avg=42.00	stddev=0.00	bps=33600.00
Time:1663792047	n=3	avg=72.00	stddev=42.43	bps=172800.00
Time:1663792047	n=0	avg=0.00	stddev=0.00	bps=0.00
Time:1663792047	n=3	avg=761.33	stddev=449.25	bps=1827200.00
Time:1663792047	n=2	avg=1079.00	stddev=0.00	bps=1726400.00
Time:1663792047	n=4	avg=847.00	stddev=415.69	bps=2710400.00
Time:1663792047	n=1	avg=1087.00	stddev=0.00	bps=869600.00
Time:1663792047	n=4	avg=599.25	stddev=487.89	bps=1917600.00
Time:1663792047	n=2	avg=605.00	stddev=482.00	bps=968000.00
Time:1663792047	n=1	avg=1087.00	stddev=0.00	bps=869600.00
Time:1663792047	n=1	avg=1087.00	stddev=0.00	bps=869600.00
Time:1663792047	n=1	avg=116.00	stddev=0.00	bps=92800.00
Time:1663792047	n=3	avg=1079.00	stddev=0.00	bps=2589600.00
Time:1663792047	n=0	avg=0.00	stddev=0.00	bps=0.00
Time:1663792047	n=0	avg=0.00	stddev=0.00	bps=0.00
Time:1663792047	n=0	avg=0.00	stddev=0.00	bps=0.00
Time:1663792047	n=0	avg=0.00	stddev=0.00	bps=0.00
Time:1663792047	n=0	avg=0.00	stddev=0.00	bps=0.00
Time:1663792047	n=0	avg=0.00	stddev=0.00	bps=0.00
Time:1663792047	n=3	avg=1079.00	stddev=0.00	bps=2589600.00
Time:1663792047	n=2	avg=1079.00	stddev=0.00	bps=1726400.00
Time:1663792047	n=4	avg=838.25	stddev=416.99	bps=2682400.00
